Điểm,Tần suất
0.75,1
1.0,3
1.25,3
1.5,11
1.75,37
2.0,77
2.25,102
2.5,164
2.75,235
2.8,1
3.0,340
3.25,385
3.5,502
3.6,1
3.75,600
4.0,829
4.25,1042
4.5,1384
4.75,1800
5.0,2455
5.25,2934
5.5,3458
5.75,4149
6.0,4746
6.25,5243
6.5,5468
6.75,5671
7.0,5502
7.25,5006
7.5,4373
7.75,3681
8.0,2846
8.25,2105
8.5,1549
8.75,1020
9.0,640
9.25,414
9.5,192
9.75,94
10.0,33
