Điểm,Tần suất
1.0,1
1.25,5
1.5,8
1.75,18
2.0,35
2.25,55
2.5,79
2.75,127
3.0,179
3.25,251
3.5,298
3.75,378
4.0,436
4.25,548
4.5,584
4.75,632
5.0,681
5.25,759
5.5,840
5.75,941
6.0,1011
6.25,1081
6.5,1199
6.75,1354
7.0,1495
7.25,1680
7.5,1655
7.75,1769
8.0,1729
8.25,1550
8.5,1464
8.75,1215
9.0,912
9.25,602
9.5,321
9.75,101
10.0,25
